Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
4.6,3.74358168052832,-2.65305847887615,102.161786529153,-6.40304396729319,22.6159529390639,0.890769753341064,-12.0592664897402,27.665428495718,570.689637309514,-197.081325089129,127.856546935008,-6.90016183037884
4.61,3.17491270479397,-2.64586290009167,104.347957064076,-6.52747105678378,22.9858710354874,0.855278935664028,-12.6100910731249,28.2580510128227,568.635504744141,-196.164449638012,127.096472254291,-7.17806244899018
4.62,2.64644234529952,-2.63585479926114,106.691523843261,-6.66462161890267,23.3933236030077,0.822413676487351,-13.1519283313387,28.851971634306,566.413240327781,-195.184376490907,126.286590857354,-7.45396061087587
4.63,2.16192098464468,-2.60993538105832,109.073376319904,-6.80894038637872,23.8134600466445,0.789409298600584,-13.6581795752762,29.4723045492675,564.152349212203,-194.192755417139,125.473832447621,-7.72749279190067
4.64,1.76654422223785,-2.58977003097653,111.573575506994,-6.96244229594838,24.2708243639331,0.763418434962403,-14.145982977722,30.0507758542882,561.700017786832,-193.06977394381,124.648876571451,-7.99332980821069
4.65,1.4148089050867,-2.64208706079256,114.377420911461,-7.13246370409944,24.7981802206793,0.756284507846454,-14.5772374233702,30.6925690562091,558.92214268599,-191.852594561217,123.760294282001,-8.25888357991862
4.66,1.11843317704904,-2.70243879539701,117.365092343836,-7.31570300941412,25.3722321920396,0.754741094983025,-14.9493302109524,31.3369592263602,555.935461453027,-190.548925396061,122.841236557766,-8.50657463610204
4.67,0.8795077757504,-2.77399037146311,120.560641978689,-7.51230914347571,25.9988142046511,0.759617715161097,-15.2559373556245,31.9752970154656,552.715862491685,-189.142870011454,121.891747951015,-8.73208299945165
4.68,0.695141509869959,-2.85742632496528,123.884754342813,-7.71572117501222,26.6610327548734,0.770893668276768,-15.4845273012869,32.6057482334551,549.317459568191,-187.642684835386,120.938316706012,-8.93248005305357
4.69,0.566549167470743,-2.95712620611441,127.3462024117,-7.92454421488178,27.3614640703213,0.789627959331095,-15.633698233976,33.218310929652,545.726876831073,-186.034104384809,119.983630060276,-9.10532302206725
4.7,0.495339180180582,-3.07788486994664,130.960679601797,-8.13764504005935,28.1042671151514,0.816990295071426,-15.7052804901866,33.8016186141542,541.926007295417,-184.301191408582,119.028187562484,-9.24905857930593
4.71,0.48631149749303,-3.22483650443882,134.751887919375,-8.3542279854776,28.8958436073327,0.854388057694783,-15.7058917731014,34.3398004066879,537.888337748646,-182.422358469916,118.070547550404,-9.36306366574655
4.72,0.539051365220455,-3.4064766937638,138.795046273226,-8.57672137369408,29.7525884743792,0.903707033144785,-15.6440440604328,34.8228346204985,533.55067200018,-180.374841086052,117.092196361612,-9.44726026535707
4.73,0.658750222942754,-3.62904960564441,143.171950830061,-8.80815359097082,30.693111783641,0.966640685683129,-15.5327425679438,35.2348154683546,528.845049721538,-178.130613058188,116.074766373859,-9.50216645583312
4.74,0.854705657486208,-3.79862417245826,147.253405788993,-9.0159554987493,31.5873079058099,1.02311705670251,-15.3098738623209,35.6196037588503,524.50614541539,-175.896351151989,115.257760886066,-9.52607379274973
4.75,1.12136902794045,-4.10043440394524,152.178366377472,-9.25315753653541,32.6738037218078,1.11331135116478,-15.1148279283835,35.8557645736944,519.164458646893,-173.2527077329,114.210117853213,-9.52573978128063
4.76,1.49323545986792,-4.44683686369084,157.471176460234,-9.49615482579667,33.858994415983,1.2198519549101,-14.9070369367149,35.9676055325714,513.440351715159,-170.35716155376,113.140615100156,-9.50344383684816
4.77,1.92570813654908,-4.84405098562389,163.133043013732,-9.74501949466875,35.1356187173056,1.34166408786672,-14.673648992958,35.982454313683,507.30305838125,-167.248979766201,112.021502647385,-9.45566874981241
4.78,2.42080743499979,-5.28693562464756,169.178766891982,-10.0008938520867,36.507211895086,1.47768449852857,-14.4235776181946,35.8908399213403,500.742820467066,-163.92605510583,110.847399784855,-9.38238371347619
